Variant,Priority,Issue Type,Report Channel,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,SLA_Violation
Variant 3,High,Performance Issue,Phone,8,4,1.0,0,32,5,1,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,19,0,0
Variant 4,Low,Maintenance,Website,7,3,1.0,0,21,15,1,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,13,0,0
Variant 3,High,Incident,Email,8,4,1.0,0,32,21,1,0
Variant 6,Medium,Bug,Website,10,7,2.0,0,70,2,1,0
Variant 1,High,Feature Request,Email,6,2,0.0,0,12,0,0,0
Variant 1,High,Maintenance,Website,6,3,0.0,0,18,16,0,0
Variant 4,Medium,Performance Issue,Website,7,5,1.0,0,35,10,1,0
Variant 7,High,Bug,App,15,8,3.0,0,120,7,1,1
Variant 1,Low,Incident,Website,6,3,0.0,0,18,6,1,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,2,0,0
Variant 1,High,Incident,Email,6,3,0.0,0,18,19,0,0
Variant 1,Medium,Technical Issue,Website,6,3,0.0,0,18,20,0,0
Variant 3,Medium,Service Request,Website,8,6,1.0,0,48,11,0,0
Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,12,1,0
Variant 8,Medium,Incident,App,10,3,0.0,0,30,5,0,0
Variant 1,High,Performance Issue,Website,6,3,0.0,0,18,11,0,0
Variant 5,Medium,Feature Request,Website,12,4,1.0,1,48,5,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,17,1,0
Variant 3,Low,Feature Request,Website,8,5,1.0,0,40,23,0,0
Variant 3,Medium,Technical Issue,Website,8,5,1.0,0,40,14,0,0
Variant 1,High,Incident,Website,6,3,0.0,0,18,10,1,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,18,1,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,1,0,0
Variant 2,High,Service Request,Website,4,2,0.0,1,8,0,0,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,0,0
Variant 6,Low,Performance Issue,Website,10,6,2.0,0,60,12,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,5,0,0
Variant 1,High,Feature Request,Email,6,3,0.0,0,18,9,0,0
Variant 1,Medium,Incident,Website,6,2,0.0,0,12,16,0,0
Variant 1,Low,Bug,Website,6,2,0.0,0,12,14,0,0
Variant 3,Low,Incident,Website,8,5,1.0,0,40,14,1,0
Variant 13,Medium,Incident,Website,11,5,1.0,0,55,0,0,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,10,0,0
Variant 3,Low,Technical Issue,Website,8,4,1.0,0,32,7,0,0
Variant 4,Low,Service Request,Website,7,6,1.0,0,42,11,1,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,3,0,0
Variant 6,Medium,Incident,Website,10,5,2.0,0,50,12,1,0
Variant 1,High,Feature Request,Website,6,2,0.0,0,12,1,0,0
Variant 3,Low,Technical Issue,Website,8,4,1.0,0,32,1,0,0
Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,1,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,4,0,0
Variant 2,High,Bug,Website,4,3,0.0,1,12,18,1,0
Variant 4,Medium,Performance Issue,Email,7,5,1.0,0,35,7,0,0
Variant 3,Medium,Technical Issue,Website,8,5,1.0,0,40,14,0,0
Variant 8,Low,Performance Issue,Email,10,3,0.0,0,30,23,1,0
Variant 3,Low,Feature Request,Website,8,5,1.0,0,40,10,0,0
Variant 1,Medium,Bug,Website,6,2,0.0,0,12,22,0,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,21,0,0
Variant 10,Medium,Technical Issue,Website,6,4,1.0,1,24,2,0,0
Variant 3,High,Performance Issue,Email,8,5,1.0,0,40,16,0,0
Variant 9,Medium,Bug,Email,10,4,1.0,0,40,23,0,0
Variant 3,Low,Feature Request,Website,8,5,1.0,0,40,13,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,20,0,0
Variant 10,Low,Bug,Email,6,3,1.0,1,18,6,1,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,5,0,0
Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,0,1,0
Variant 2,Medium,Performance Issue,Website,4,2,0.0,1,8,0,0,0
Variant 3,High,Incident,Website,8,6,1.0,0,48,4,0,0
Variant 3,Low,Feature Request,Website,8,5,1.0,0,40,22,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,23,0,0
Variant 1,Medium,Service Request,Email,6,2,0.0,0,12,2,0,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,16,1,0
Variant 1,Low,Technical Issue,Website,6,3,0.0,0,18,0,0,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,5,0,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,11,1,0
Variant 4,Low,Bug,Website,7,4,1.0,0,28,15,1,0
Variant 10,Medium,Feature Request,Website,6,4,1.0,1,24,15,0,0
Variant 1,High,Incident,Email,6,3,0.0,0,18,21,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,6,0,0
Variant 1,Low,Performance Issue,Email,6,2,0.0,0,12,23,1,0
Variant 1,Low,Feature Request,Website,6,2,0.0,0,12,0,0,0
Variant 3,Low,Incident,Email,8,4,1.0,0,32,19,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,3,0,0
Variant 11,Low,Incident,Website,6,3,0.0,0,18,5,0,0
Variant 4,High,Bug,Email,7,5,1.0,0,35,0,0,0
Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,15,1,0
Variant 2,Medium,Feature Request,Email,4,2,0.0,1,8,2,0,0
Variant 1,Medium,Technical Issue,Email,6,2,0.0,0,12,15,0,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,19,0,0
Variant 1,Medium,Bug,App,6,2,0.0,0,12,16,0,0
Variant 10,Low,Technical Issue,Email,6,3,1.0,1,18,13,0,0
Variant 3,Medium,Incident,Email,8,4,1.0,0,32,10,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,14,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,18,0,0
Variant 3,Medium,Performance Issue,Email,8,3,1.0,0,24,12,0,0
Variant 3,Medium,Performance Issue,App,8,4,1.0,0,32,20,1,0
Variant 1,Low,Bug,Website,6,2,0.0,0,12,3,1,0
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,11,0,0
Variant 5,Low,Bug,Email,12,4,1.0,1,48,5,1,0
Variant 1,Medium,Bug,App,6,3,0.0,0,18,15,0,0
Variant 1,Medium,Bug,Phone,6,3,0.0,0,18,15,1,0
Variant 12,High,Feature Request,Phone,6,4,0.0,0,24,8,1,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,19,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,14,0,0
Variant 1,Low,Bug,Email,6,2,0.0,0,12,10,0,0
Variant 7,Medium,Bug,Website,15,7,3.0,0,105,17,0,0
Variant 4,Low,Bug,Website,7,4,1.0,0,28,17,0,0
Variant 3,High,Performance Issue,Phone,8,5,1.0,0,40,17,0,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,14,1,0
Variant 1,Medium,Performance Issue,Email,6,2,0.0,0,12,11,0,0
Variant 1,Medium,Bug,App,6,3,0.0,0,18,5,0,0
Variant 3,Medium,Performance Issue,Website,8,3,1.0,0,24,21,1,0
Variant 8,Medium,Feature Request,Website,10,3,0.0,0,30,3,0,0
Variant 3,Medium,Incident,Website,8,5,1.0,0,40,11,0,0
Variant 5,Medium,Service Request,Website,12,5,1.0,1,60,0,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,22,0,0
Variant 10,Medium,Maintenance,Email,6,3,1.0,1,18,7,0,0
Variant 1,Low,Bug,Website,6,2,0.0,0,12,1,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,13,0,0
Variant 10,High,Feature Request,Email,6,4,1.0,1,24,18,1,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,2,0,0
Variant 3,Medium,Performance Issue,App,8,5,1.0,0,40,22,0,0
Variant 3,Low,Incident,Email,8,4,1.0,0,32,11,1,0
Variant 12,Low,Incident,Phone,6,4,0.0,0,24,20,0,0
Variant 6,Medium,Maintenance,Email,10,7,2.0,0,70,12,1,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,14,0,0
Variant 1,Medium,Bug,App,6,2,0.0,0,12,23,0,0
Variant 1,High,Feature Request,Website,6,3,0.0,0,18,6,0,0
Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,18,1,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,12,0,0
Variant 1,Medium,Technical Issue,Phone,6,3,0.0,0,18,13,0,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,13,0,0
Variant 1,Low,Service Request,Website,6,3,0.0,0,18,5,0,0
Variant 7,High,Bug,Email,15,9,3.0,0,135,11,0,1
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,22,1,0
Variant 3,Medium,Performance Issue,Phone,8,4,1.0,0,32,5,1,0
Variant 1,Medium,Incident,Website,6,2,0.0,0,12,20,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,14,0,0
Variant 1,Low,Incident,Website,6,3,0.0,0,18,16,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,3,1,0
Variant 1,Medium,Service Request,Email,6,2,0.0,0,12,3,0,0
Variant 1,High,Service Request,Website,6,3,0.0,0,18,9,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,6,0,0
Variant 3,Low,Performance Issue,Phone,8,4,1.0,0,32,5,1,0
Variant 4,Low,Incident,Website,7,5,1.0,0,35,6,0,0
Variant 8,High,Bug,Website,10,3,0.0,0,30,18,0,1
Variant 3,Low,Performance Issue,Email,8,6,1.0,0,48,23,0,0
Variant 1,Low,Bug,Website,6,3,0.0,0,18,12,1,0
Variant 3,Medium,Service Request,Email,8,5,1.0,0,40,8,0,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,10,0,0
Variant 1,High,Incident,App,6,2,0.0,0,12,9,1,0
Variant 7,Medium,Bug,Email,15,8,3.0,0,120,17,1,0
Variant 3,Low,Service Request,App,8,4,1.0,0,32,21,0,0
Variant 1,High,Service Request,Email,6,3,0.0,0,18,7,1,0
Variant 1,Low,Bug,App,6,2,0.0,0,12,6,0,0
Variant 7,Medium,Bug,Website,15,8,3.0,0,120,6,0,0
Variant 12,Medium,Bug,Email,6,3,0.0,0,18,16,1,0
Variant 1,Medium,Technical Issue,Website,6,3,0.0,0,18,17,1,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,14,0,0
Variant 4,Medium,Feature Request,Website,7,6,1.0,0,42,12,0,0
Variant 7,Medium,Bug,Website,15,7,3.0,0,105,2,0,0
Variant 2,Low,Maintenance,Website,4,2,0.0,1,8,13,1,0
Variant 3,High,Performance Issue,Phone,8,4,1.0,0,32,0,1,0
Variant 1,Medium,Performance Issue,Email,6,2,0.0,0,12,11,0,0
Variant 7,Medium,Bug,Website,15,6,3.0,0,90,20,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,2,1,0
Variant 1,Medium,Feature Request,App,6,3,0.0,0,18,19,0,0
Variant 7,Medium,Bug,Website,15,6,3.0,0,90,12,1,0
Variant 1,Low,Performance Issue,Email,6,2,0.0,0,12,21,0,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,6,0,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,20,0,0
Variant 1,High,Incident,Website,6,3,0.0,0,18,14,0,0
Variant 1,High,Incident,Email,6,3,0.0,0,18,21,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,23,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,11,1,0
Variant 1,High,Incident,Website,6,3,0.0,0,18,9,0,0
Variant 3,Medium,Maintenance,Email,8,4,1.0,0,32,3,0,0
Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,22,0,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,23,0,0
Variant 3,Low,Incident,Email,8,4,1.0,0,32,4,0,0
Variant 5,Low,Bug,Website,12,4,1.0,1,48,2,0,0
Variant 1,Low,Service Request,Email,6,3,0.0,0,18,2,0,0
Variant 1,Low,Feature Request,Email,6,2,0.0,0,12,8,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,18,0,0
Variant 3,High,Performance Issue,Email,8,5,1.0,0,40,7,1,0
Variant 1,Low,Bug,Website,6,3,0.0,0,18,15,1,0
Variant 9,Medium,Incident,Email,10,5,1.0,0,50,18,0,0
Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,12,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,21,0,0
Variant 1,High,Performance Issue,Email,6,3,0.0,0,18,17,1,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,7,1,0
Variant 6,Low,Bug,Website,10,5,2.0,0,50,3,0,0
Variant 1,High,Performance Issue,App,6,3,0.0,0,18,9,1,0
Variant 8,High,Service Request,Email,10,3,0.0,0,30,7,0,1
Variant 1,Low,Maintenance,App,6,3,0.0,0,18,13,0,0
Variant 11,High,Maintenance,Website,6,3,0.0,0,18,17,0,0
Variant 4,Medium,Feature Request,Website,7,4,1.0,0,28,20,1,0
Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,7,1,0
Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,14,1,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,9,0,0
Variant 3,High,Performance Issue,Email,8,5,1.0,0,40,11,0,1
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,20,0,0
Variant 3,Low,Feature Request,Email,8,4,1.0,0,32,0,1,0
Variant 3,Low,Incident,Email,8,3,1.0,0,24,14,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,1,0,0
Variant 3,Medium,Incident,Website,8,5,1.0,0,40,18,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,4,0,0
Variant 3,Low,Performance Issue,Email,8,6,1.0,0,48,6,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,4,0,0
Variant 3,Low,Technical Issue,Email,8,4,1.0,0,32,1,1,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,9,0,0
Variant 1,Medium,Incident,Email,6,2,0.0,0,12,4,1,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,10,0,0
Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,14,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,4,1,0
Variant 3,Low,Incident,Website,8,4,1.0,0,32,6,0,0
Variant 6,Low,Bug,Website,10,7,2.0,0,70,10,1,0
Variant 1,Medium,Incident,App,6,2,0.0,0,12,0,0,0
Variant 1,Low,Technical Issue,Email,6,3,0.0,0,18,7,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,16,1,0
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,3,1,0
Variant 3,Low,Incident,Email,8,4,1.0,0,32,15,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,2,0,0
Variant 12,High,Feature Request,Website,6,3,0.0,0,18,23,1,0
Variant 4,Medium,Feature Request,Website,7,3,1.0,0,21,10,0,0
Variant 3,Low,Feature Request,Website,8,5,1.0,0,40,7,0,0
Variant 2,High,Feature Request,Website,4,2,0.0,1,8,11,1,0
Variant 3,Low,Service Request,Email,8,4,1.0,0,32,15,0,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,3,0,0
Variant 1,High,Bug,Website,6,3,0.0,0,18,5,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,7,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,17,0,0
Variant 3,Medium,Service Request,Email,8,6,1.0,0,48,16,0,0
Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,17,0,0
Variant 4,Medium,Service Request,Website,7,4,1.0,0,28,10,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,14,1,0
Variant 3,Medium,Technical Issue,Email,8,5,1.0,0,40,16,0,0
Variant 1,High,Service Request,Website,6,2,0.0,0,12,4,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,4,0,1
Variant 1,Medium,Bug,Phone,6,3,0.0,0,18,4,1,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,19,1,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,18,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,9,1,0
Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,23,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,16,0,0
Variant 9,High,Incident,Website,10,4,1.0,0,40,10,0,1
Variant 3,Medium,Feature Request,App,8,5,1.0,0,40,3,1,0
Variant 3,Medium,Service Request,Phone,8,6,1.0,0,48,21,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,16,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,18,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,4,1,1
Variant 1,Low,Incident,Email,6,2,0.0,0,12,11,1,0
Variant 3,Medium,Feature Request,App,8,4,1.0,0,32,18,1,0
Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,3,1,0
Variant 4,Medium,Bug,App,7,3,1.0,0,21,1,1,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,5,0,0
Variant 11,Medium,Technical Issue,Email,6,4,0.0,0,24,1,0,0
Variant 3,Low,Performance Issue,Phone,8,4,1.0,0,32,15,0,0
Variant 1,High,Bug,Website,6,3,0.0,0,18,13,0,0
Variant 3,Low,Maintenance,Email,8,5,1.0,0,40,20,1,0
Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,5,0,0
Variant 4,Medium,Feature Request,Email,7,5,1.0,0,35,7,1,0
Variant 3,High,Service Request,Email,8,5,1.0,0,40,11,1,1
Variant 3,Low,Service Request,Phone,8,6,1.0,0,48,6,0,0
Variant 1,High,Performance Issue,Website,6,3,0.0,0,18,6,0,0
Variant 3,Medium,Incident,Website,8,6,1.0,0,48,19,1,0
Variant 3,Low,Technical Issue,Email,8,4,1.0,0,32,19,0,0
Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,11,0,0
Variant 3,Medium,Incident,Email,8,4,1.0,0,32,4,1,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,10,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,16,0,1
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,1,1,0
Variant 1,High,Incident,App,6,3,0.0,0,18,18,0,0
Variant 1,Medium,Bug,Phone,6,3,0.0,0,18,2,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,1,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,14,0,0
Variant 7,Medium,Bug,Email,15,8,3.0,0,120,7,1,0
Variant 5,Medium,Incident,Email,12,6,1.0,1,72,6,0,0
Variant 1,Low,Feature Request,Website,6,2,0.0,0,12,2,0,0
Variant 5,Medium,Service Request,Website,12,5,1.0,1,60,23,0,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,1,0,0
Variant 3,Medium,Technical Issue,Website,8,5,1.0,0,40,14,0,0
Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,9,0,0
Variant 3,Medium,Maintenance,Email,8,5,1.0,0,40,4,0,0
Variant 1,Medium,Technical Issue,Email,6,2,0.0,0,12,7,0,0
Variant 4,Medium,Bug,Email,7,5,1.0,0,35,7,0,0
Variant 5,Medium,Bug,Website,12,5,1.0,1,60,12,1,0
Variant 4,Low,Feature Request,Website,7,4,1.0,0,28,22,1,0
Variant 3,Low,Technical Issue,Phone,8,4,1.0,0,32,2,1,0
Variant 1,Medium,Feature Request,App,6,2,0.0,0,12,12,0,0
Variant 3,Medium,Service Request,Email,8,3,1.0,0,24,10,1,0
Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,20,1,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,23,0,0
Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,21,0,0
Variant 1,Low,Service Request,Email,6,2,0.0,0,12,16,1,0
Variant 10,Medium,Feature Request,Website,6,3,1.0,1,18,4,0,0
Variant 8,Medium,Technical Issue,Website,10,3,0.0,0,30,14,1,0
Variant 8,High,Bug,Website,10,2,0.0,0,20,23,0,1
Variant 4,Medium,Bug,Email,7,5,1.0,0,35,11,1,0
Variant 3,Medium,Incident,Email,8,5,1.0,0,40,9,1,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,2,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,4,0,0
Variant 2,High,Incident,Email,4,2,0.0,1,8,2,1,0
Variant 1,Medium,Service Request,Website,6,3,0.0,0,18,15,0,0
Variant 3,Low,Feature Request,Website,8,5,1.0,0,40,19,0,0
Variant 3,Medium,Maintenance,Email,8,4,1.0,0,32,14,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,20,1,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,4,1,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,0,0
Variant 5,High,Bug,Email,12,5,1.0,1,60,10,0,1
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,15,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,5,1,0
Variant 1,Low,Performance Issue,Website,6,2,0.0,0,12,16,0,0
Variant 1,High,Performance Issue,Website,6,3,0.0,0,18,19,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,22,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,2,0,0
Variant 7,Medium,Bug,Website,15,7,3.0,0,105,11,0,0
Variant 10,Medium,Incident,Email,6,3,1.0,1,18,15,0,0
Variant 3,High,Performance Issue,App,8,4,1.0,0,32,9,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,3,0,0
Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,21,0,0
Variant 4,High,Technical Issue,App,7,3,1.0,0,21,2,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,0,0,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,6,0,0
Variant 7,High,Bug,Website,15,9,3.0,0,135,14,0,1
Variant 12,Medium,Performance Issue,Website,6,3,0.0,0,18,1,0,0
Variant 3,Low,Feature Request,Email,8,6,1.0,0,48,20,0,0
Variant 4,Medium,Incident,Website,7,5,1.0,0,35,7,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,14,0,0
Variant 2,Medium,Technical Issue,Website,4,3,0.0,1,12,6,0,0
Variant 3,High,Feature Request,Website,8,4,1.0,0,32,0,0,0
Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,17,0,0
Variant 1,Low,Bug,Website,6,3,0.0,0,18,19,0,0
Variant 9,High,Service Request,Website,10,4,1.0,0,40,3,0,0
Variant 1,High,Service Request,App,6,3,0.0,0,18,0,1,0
Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,7,0,0
Variant 1,Low,Incident,App,6,2,0.0,0,12,7,0,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,18,1,0
Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,0,0,0
Variant 3,Medium,Incident,Email,8,5,1.0,0,40,17,1,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,23,0,0
Variant 10,High,Bug,Website,6,4,1.0,1,24,4,0,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,22,0,0
Variant 7,High,Bug,Email,15,7,3.0,0,105,14,0,1
Variant 4,Medium,Bug,Website,7,4,1.0,0,28,9,1,0
Variant 4,Low,Bug,Email,7,5,1.0,0,35,7,1,0
Variant 3,High,Feature Request,Website,8,5,1.0,0,40,0,0,0
Variant 3,Medium,Maintenance,Email,8,6,1.0,0,48,9,1,0
Variant 4,Medium,Bug,Email,7,5,1.0,0,35,3,0,0
Variant 7,High,Bug,App,15,7,3.0,0,105,8,0,1
Variant 1,High,Bug,Email,6,3,0.0,0,18,12,0,0
Variant 1,High,Bug,Website,6,2,0.0,0,12,23,1,0
Variant 1,High,Performance Issue,Email,6,3,0.0,0,18,16,1,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,0,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,9,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,14,1,0
Variant 3,Medium,Feature Request,Email,8,6,1.0,0,48,19,1,0
Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,7,0,0
Variant 3,High,Technical Issue,Email,8,4,1.0,0,32,22,0,0
Variant 1,High,Bug,Website,6,3,0.0,0,18,14,1,0
Variant 1,Low,Service Request,Email,6,2,0.0,0,12,14,0,0
Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,18,0,0
Variant 1,High,Bug,Email,6,3,0.0,0,18,0,1,0
Variant 3,High,Service Request,Website,8,3,1.0,0,24,0,1,0
Variant 1,Medium,Service Request,Website,6,3,0.0,0,18,19,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,8,0,0
Variant 1,Low,Service Request,Website,6,3,0.0,0,18,9,0,0
Variant 4,High,Performance Issue,Website,7,3,1.0,0,21,17,0,0
Variant 5,Medium,Bug,Website,12,6,1.0,1,72,15,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,4,0,0
Variant 6,Medium,Technical Issue,Website,10,6,2.0,0,60,11,0,0
Variant 3,High,Performance Issue,Email,8,4,1.0,0,32,23,1,1
Variant 11,High,Feature Request,App,6,3,0.0,0,18,9,0,0
Variant 3,High,Incident,Phone,8,4,1.0,0,32,7,0,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,5,0,0
Variant 1,High,Service Request,Website,6,3,0.0,0,18,11,0,0
Variant 7,Medium,Bug,Email,15,6,3.0,0,90,2,1,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,14,0,0
Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,13,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,19,1,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,19,0,0
Variant 3,High,Feature Request,App,8,6,1.0,0,48,21,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,21,0,0
Variant 3,Medium,Technical Issue,Email,8,5,1.0,0,40,1,0,0
Variant 1,Medium,Service Request,Website,6,3,0.0,0,18,13,0,0
Variant 1,High,Bug,App,6,3,0.0,0,18,11,0,0
Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,8,1,0
Variant 4,Medium,Bug,Email,7,3,1.0,0,21,0,0,0
Variant 9,Low,Feature Request,Email,10,3,1.0,0,30,5,0,0
Variant 6,Medium,Incident,Website,10,7,2.0,0,70,8,0,0
Variant 3,Medium,Performance Issue,Email,8,3,1.0,0,24,4,0,0
Variant 3,Low,Service Request,App,8,3,1.0,0,24,0,0,0
Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,1,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,16,1,0
Variant 6,Medium,Bug,Website,10,6,2.0,0,60,6,0,0
Variant 1,High,Bug,Email,6,2,0.0,0,12,16,0,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,4,0,0
